    PID TTY      STAT   TIME COMMAND
      2 ?        S      0:00 [kthreadd]
    580 ?        S      0:00  \_ [card0-crtc0]
    581 ?        S      0:00  \_ [card0-crtc1]
    582 ?        S      0:00  \_ [card0-crtc2]
    583 ?        S      0:00  \_ [card0-crtc3]
    617 ?        I<     0:00  \_ [btrfs-worker]
    618 ?        I<     0:00  \_ [btrfs-worker-hi]
    619 ?        I<     0:00  \_ [btrfs-delalloc]
    620 ?        I<     0:00  \_ [btrfs-flush_del]
    621 ?        I<     0:00  \_ [btrfs-cache]
    622 ?        I<     0:00  \_ [btrfs-fixup]
    623 ?        I<     0:00  \_ [btrfs-endio]
    624 ?        I<     0:00  \_ [btrfs-endio-met]
    625 ?        I<     0:00  \_ [btrfs-endio-met]
    626 ?        I<     0:00  \_ [btrfs-endio-rai]
    627 ?        I<     0:00  \_ [btrfs-rmw]
    628 ?        I<     0:00  \_ [btrfs-endio-wri]
    629 ?        I<     0:00  \_ [btrfs-freespace]
    630 ?        I<     0:00  \_ [btrfs-delayed-m]
    631 ?        I<     0:00  \_ [btrfs-readahead]
    632 ?        I<     0:00  \_ [btrfs-qgroup-re]
    633 ?        S      0:00  \_ [btrfs-cleaner]
    634 ?        S      0:00  \_ [btrfs-transacti]
    656 ?        S      0:00  \_ [jbd2/nvme0n1p7-]
    657 ?        I<     0:00  \_ [ext4-rsv-conver]
    763 ?        S      0:01  \_ [spi0]
    779 ?        S      0:02  \_ [jbd2/nvme0n1p8-]
    780 ?        I<     0:00  \_ [ext4-rsv-conver]
    797 ?        I<     0:00  \_ [cfg80211]
    801 ?        I<     0:00  \_ [cs35l41_ramp]
    802 ?        S      0:00  \_ [irq/70-cs35l41]
    806 ?        I<     0:00  \_ [cs35l41]
    807 ?        I<     0:00  \_ [cs35l41_ramp]
    808 ?        S      0:00  \_ [irq/70-cs35l41]
    810 ?        I<     0:00  \_ [cs35l41]
    815 ?        S      0:27  \_ [irq/74-rtw88_pc]
    834 ?        S      0:00  \_ [irq/72-nau8821]
   9694 ?        I      0:08  \_ [kworker/u32:1-events_unbound]
  10771 ?        I      0:00  \_ [kworker/4:2-rcu_gp]
  11225 ?        I      0:03  \_ [kworker/u32:9-events_unbound]
  11226 ?        I      0:03  \_ [kworker/u32:10-events_unbound]
  11836 ?        I      0:00  \_ [kworker/7:3-rcu_gp]
  13267 ?        I      0:00  \_ [kworker/5:1-pm]
  13268 ?        I      0:00  \_ [kworker/0:1-pm]
  13269 ?        I      0:00  \_ [kworker/2:0-rcu_gp]
  13280 ?        I      0:02  \_ [kworker/u32:0-events_unbound]
  13281 ?        I      0:03  \_ [kworker/u32:2-events_unbound]
  13289 ?        I      0:03  \_ [kworker/u32:3-events_unbound]
  13290 ?        I      0:03  \_ [kworker/u32:4-events_unbound]
  13642 ?        D      0:02  \_ [kworker/u32:5+events_unbound]
  13725 ?        I      0:00  \_ [kworker/6:2-rcu_gp]
  13764 ?        I      0:00  \_ [kworker/3:1-pm]
  13825 ?        I<     0:00  \_ [kworker/u33:1-rtw_tx_wq]
  14214 ?        I      0:00  \_ [kworker/1:2-pm]
  14263 ?        I      0:00  \_ [kworker/5:0-events]
  14346 ?        I      0:00  \_ [kworker/7:0-events]
  14347 ?        I      0:00  \_ [kworker/1:0-pm]
  14377 ?        I<     0:00  \_ [kworker/u33:0-hci0]
  14445 ?        I      0:01  \_ [kworker/u32:6-events_unbound]
  14447 ?        I      0:00  \_ [kworker/4:0-pm]
  14481 ?        I      0:00  \_ [kworker/2:1-pm]
  14495 ?        I      0:00  \_ [kworker/6:0-events]
  14496 ?        I      0:00  \_ [kworker/3:2-events]
  14559 ?        I      0:00  \_ [kworker/1:1-events]
  14562 ?        I      0:00  \_ [kworker/0:2-pm]
  14598 ?        I      0:00  \_ [kworker/u32:7-events_power_efficient]
  14599 ?        I      0:00  \_ [kworker/u32:8-events_unbound]
  14600 ?        I      0:00  \_ [kworker/u32:11-events_unbound]
  14601 ?        I      0:00  \_ [kworker/u32:12-events_unbound]
  14602 ?        I      0:00  \_ [kworker/u32:13-btrfs-endio]
  14603 ?        I      0:00  \_ [kworker/u32:14-events_unbound]
  14604 ?        I      0:00  \_ [kworker/u32:15-events_unbound]
  14605 ?        I      0:00  \_ [kworker/u32:16-events_unbound]
  14606 ?        I      0:00  \_ [kworker/u32:17-events_unbound]
  14607 ?        I      0:00  \_ [kworker/7:1-mm_percpu_wq]
  14608 ?        I      0:00  \_ [kworker/u32:18-events_unbound]
  14609 ?        I      0:00  \_ [kworker/u32:19-btrfs-endio]
  14610 ?        I      0:00  \_ [kworker/u32:20-events_unbound]
  14611 ?        I      0:00  \_ [kworker/u32:21-events_unbound]
  14612 ?        I      0:00  \_ [kworker/u32:22-events_unbound]
  14613 ?        I      0:00  \_ [kworker/u32:23-events_unbound]
  14614 ?        I      0:00  \_ [kworker/u32:24-btrfs-endio]
  14615 ?        I      0:00  \_ [kworker/u32:25-events_unbound]
